Precinct,Registered,Ahern Difference,Total Ahern,Ahern Percentage,Total Write-In,Write-in Percentage
9423800,5,1,1,100,0,0
9423810,0,0,0,0,0,0
9423820,0,0,0,0,0,0
9424200,67,8,8,100,0,0
9430010,0,0,0,0,0,0
9430020,0,0,0,0,0,0
9430110,0,0,0,0,0,0
9430120,0,0,0,0,0,0
9430130,0,0,0,0,0,0
9430140,0,0,0,0,0,0
9430150,0,0,0,0,0,0
9430160,6,0,1,50,1,50
9430410,4,2,2,100,0,0
9430420,1,0,0,0,0,0
9430500,2,1,1,100,0,0
9430510,61,7,7,100,0,0
9430710,70,15,15,100,0,0
9430720,144,37,38,97,1,3
9430800,403,94,97,97,3,3
9430820,0,0,0,0,0,0
9431110,12,1,1,100,0,0
9431120,5,1,1,100,0,0
9431200,7,1,1,100,0,0
9431210,43,13,14,93,1,7
9431300,102,30,31,97,1,3
9431310,103,18,19,95,1,5
9431400,233,46,50,93,4,7
9431500,138,36,37,97,1,3
9431610,41,18,18,100,0,0
9431620,17,4,4,100,0,0
9431700,171,47,51,93,4,7
9431900,204,38,41,93,3,7
9432910,49,7,7,100,0,0
9433620,342,86,88,98,2,2
9433630,418,112,114,98,2,2
9438120,11,5,5,100,0,0
9438140,2,1,1,100,0,0
9438500,7,0,0,0,0,0
9442610,321,70,71,99,1,1
9442810,0,0,0,0,0,0
9442820,304,35,37,95,2,5
9443110,79,15,15,100,0,0
9443600,370,95,100,95,5,5
9443700,419,105,105,100,0,0
9443710,0,0,0,0,0,0
9443720,0,0,0,0,0,0
9443800,290,65,66,99,1,1
9447010,2,0,0,0,0,0
9447020,0,0,0,0,0,0
9447040,0,0,0,0,0,0
9447100,13,3,3,100,0,0
9447110,0,0,0,0,0,0
9447120,0,0,0,0,0,0
9447210,7,4,4,100,0,0
9447300,306,91,95,96,4,4
9447510,39,8,8,100,0,0
9447700,255,38,40,95,2,5
9447710,0,0,0,0,0,0
9447720,157,53,53,100,0,0
9450920,0,0,0,0,0,0
9450930,2,0,0,0,0,0
9451500,298,75,76,99,1,1
9452000,0,0,0,0,0,0
9454220,49,15,15,100,0,0
9454230,0,0,0,0,0,0
9454600,0,0,0,0,0,0
9454700,358,91,95,96,4,4
9455010,392,79,85,93,6,7
9455200,291,68,69,99,1,1
9455410,223,53,56,95,3,5
9456610,0,0,0,0,0,0
9464000,3,2,2,100,0,0
9464010,0,0,0,0,0,0
9464020,0,0,0,0,0,0
9464030,0,0,0,0,0,0
9464100,1,0,0,0,0,0
9464200,0,0,0,0,0,0
9464300,0,0,0,0,0,0
9464310,0,0,0,0,0,0
9464320,0,0,0,0,0,0
9464350,0,0,0,0,0,0
9464360,0,0,0,0,0,0
9464500,62,23,23,100,0,0
9464510,0,0,0,0,0,0
9464520,0,0,0,0,0,0
9464600,208,54,55,98,1,2
9464670,55,5,5,100,0,0
9464700,0,0,0,0,0,0
9464710,0,0,0,0,0,0
9464720,0,0,0,0,0,0
9470100,189,62,62,100,0,0
9470310,0,0,0,0,0,0
9470700,419,63,65,97,2,3
9472920,1,0,0,0,0,0
9475010,0,0,0,0,0,0
9475210,4,0,0,0,0,0
9475600,134,36,38,95,2,5
9475620,7,0,0,0,0,0
9475630,0,0,0,0,0,0
9475640,0,0,0,0,0,0
9476120,1,0,0,0,0,0
9480010,0,0,0,0,0,0
9481110,23,1,3,60,2,40
9481310,28,6,6,100,0,0
9481430,0,0,0,0,0,0
9481520,126,17,18,95,1,5
9481530,15,2,2,100,0,0
9481540,163,28,28,100,0,0
9481550,0,0,0,0,0,0
9481810,408,69,76,92,7,8
9481900,320,61,62,98,1,2
9481930,0,0,0,0,0,0
9481940,21,2,2,100,0,0
9481950,0,0,0,0,0,0
9481960,0,0,0,0,0,0
9481970,0,0,0,0,0,0
9482000,131,21,23,92,2,8
9482020,8,2,2,100,0,0
9482040,4,2,2,100,0,0
9482050,15,0,0,0,0,0
9484000,2,0,0,0,0,0
9490040,16,5,5,100,0,0
9490100,62,21,22,96,1,4
9490120,0,0,0,0,0,0
9490130,0,0,0,0,0,0
9490200,0,0,0,0,0,0
9490300,0,0,0,0,0,0
9491010,0,0,0,0,0,0
9491020,2,0,0,0,0,0
9491410,25,7,8,89,1,11
9491600,225,72,75,96,3,4
9491630,123,37,37,100,0,0
9491650,3,0,0,0,0,0
9492000,185,59,60,98,1,2
9492040,1,0,0,0,0,0
9492110,10,6,6,100,0,0
9492200,0,1,1,100,0,0
9498100,4,2,2,100,0,0
9498200,28,12,12,100,0,0
9498220,0,0,0,0,0,0
9498300,39,16,16,100,0,0
9498310,1,1,1,100,0,0
9498320,0,0,0,0,0,0
9498340,0,0,0,0,0,0
9498360,0,0,0,0,0,0
9499000,18,6,6,100,0,0
9499010,0,0,0,0,0,0
9500220,248,56,57,98,1,2
9500510,3,2,2,100,0,0
9501710,40,11,11,100,0,0
9502910,6,0,0,0,0,0
9510100,240,75,77,97,2,3
9510110,51,14,14,100,0,0
9510120,0,0,0,0,0,0
9510140,0,0,0,0,0,0
9510150,8,4,4,100,0,0
9510300,390,126,126,100,0,0
9510320,0,0,0,0,0,0
9510410,105,25,26,96,1,4
9510500,224,76,78,98,2,3
9510610,46,14,14,100,0,0
9510700,0,0,0,0,0,0
9510720,0,0,0,0,0,0
9510730,4,2,2,100,0,0
9510800,95,17,17,100,0,0
9510810,284,94,94,100,0,0
9510840,129,32,32,100,0,0
9510890,0,0,0,0,0,0
9510910,0,0,0,0,0,0
9510920,0,0,0,0,0,0
9510950,0,0,0,0,0,0
9510960,0,0,0,0,0,0
9510970,0,0,0,0,0,0
9510980,0,0,0,0,0,0
9510990,0,0,0,0,0,0
9511000,0,0,0,0,0,0
9520250,365,59,63,94,4,6
9520730,0,0,0,0,0,0
9520900,4,2,2,100,0,0
9520910,3,2,2,100,0,0
9522160,455,128,128,100,0,0
9530200,0,0,0,0,0,0
9532000,0,0,0,0,0,0
9532100,3,0,0,0,0,0
9532200,0,0,0,0,0,0
9532400,0,0,0,0,0,0
9535000,5,0,0,0,0,0
9535020,0,0,0,0,0,0
9535030,0,0,0,0,0,0
9535040,2,0,0,0,0,0
9535050,0,0,0,0,0,0
9535060,0,0,0,0,0,0
9535070,0,0,0,0,0,0
9535090,0,0,0,0,0,0
9535200,0,0,0,0,0,0
9535300,79,12,16,80,4,20
9535400,7,5,5,100,0,0
9535500,4,0,0,0,0,0
9535600,0,0,0,0,0,0
9535700,0,0,0,0,0,0
9535900,0,0,0,0,0,0
9810900,2,1,1,100,0,0
9815110,1,0,0,0,0,0
9815120,0,0,0,0,0,0
9815150,0,0,0,0,0,0
9819020,13,4,4,100,0,0
9819100,3,0,0,0,0,0
9819110,2,0,0,0,0,0
9820000,0,0,0,0,0,0
9821010,3,0,0,0,0,0
9821020,0,0,0,0,0,0
9821310,48,10,11,92,1,8
9821720,45,13,13,100,0,0
9823030,0,0,0,0,0,0
9823040,0,0,0,0,0,0
9831220,13,3,3,100,0,0
9831730,253,50,50,100,0,0
9834020,3,0,0,0,0,0
9834030,0,0,0,0,0,0
9834410,0,0,0,0,0,0
9835050,7,1,1,100,0,0
9835700,28,1,1,100,0,0
9835740,146,28,29,97,1,3
9837010,0,0,0,0,0,0
9837030,0,0,0,0,0,0
9839000,5,2,2,100,0,0
9839030,0,0,0,0,0,0
9839060,0,0,0,0,0,0
9839120,1,0,0,0,0,0
9839200,1,0,0,0,0,0
9839210,3,-3,0,0,3,100
9839220,1,0,0,0,0,0
9839230,1,0,0,0,0,0
9839240,53,8,8,100,0,0
9839300,9,3,3,100,0,0
9839310,20,10,10,100,0,0
9839330,132,25,25,100,0,0
9839350,29,10,10,100,0,0
9839360,9,1,1,100,0,0
9839380,0,0,0,0,0,0
9839400,0,0,0,0,0,0
9839500,0,0,0,0,0,0
9839520,0,0,0,0,0,0
9866900,0,0,0,0,0,0
9866910,98,22,22,100,0,0
9866920,0,0,0,0,0,0
9866930,0,0,0,0,0,0
9867100,11,3,3,100,0,0
9867110,20,3,3,100,0,0
9867200,86,15,15,100,0,0
9867320,0,0,0,0,0,0
9867330,0,0,0,0,0,0
9867400,2,0,0,0,0,0
9867410,1,0,0,0,0,0
9870000,200,71,71,100,0,0
9870010,291,77,80,96,3,4
9870100,213,58,58,100,0,0
9870110,0,0,0,0,0,0
9870120,0,0,0,0,0,0
9870150,0,0,0,0,0,0
9880200,22,2,2,100,0,0
9880220,14,4,4,100,0,0
9880400,0,0,0,0,0,0
9880500,0,0,0,0,0,0
